,project_source_id,Activity Type,Owner Type,Space Type,Project Size,Certification date,CBSA,USGBC Chapter,EPA Region,ASHRAE Climate Zone,Urban Rural Classification,Electric Utility Provider,address,building.URL,rating_program_name
3939,1000019511,LEED,Corporate,Office,"11,000 sq ft",NA,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",San Diego Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,San Diego Gas & Electric Co.,"880 Carlsbad Village Dr, Carlsbad, CA, USA",http://www.gbig.org/buildings/21278,LEED CS 2009
3940,1000019590,LEED,Corporate,Warehouse and Distribution,"147,354 sq ft",January 24 2018,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"17618 Harvill Avenue, CA, USA",http://www.gbig.org/buildings/117412,LEED CS 2009
3941,1000019591,LEED,Corporate,Warehouse and Distribution,"676,690 sq ft",NA,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"17789 Harvill Avenue, Perris, CA, USA",http://www.gbig.org/buildings/117413,LEED CS 2009
3942,1000019592,LEED,Corporate,Warehouse and Distribution,"454,016 sq ft",NA,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Southern California Edison Co.,"10650 Poplar Ave, Fontana, CA, USA",http://www.gbig.org/buildings/1615,LEED CS 2009
3943,1000020529,LEED,Corporate,Warehouse and Distribution,"951,660 sq ft",NA,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Southern California Edison Co.,"1910 E Central Ave, San Bernardino, CA, USA",http://www.gbig.org/buildings/6986,LEED CS 2009
3944,1000020224,LEED,Investor,Warehouse and Distribution,"445,898 sq ft",May 07 2018,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"5400 Cantu-Galleano Ranch Rd, Mira Loma, CA, USA",http://www.gbig.org/buildings/1090233,LEED CS 2009
3945,1000020088,LEED,Corporate,Warehouse and Distribution,"704,114 sq ft",April 23 2013,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Southern California Edison Co.,"2125 San Bernardino Avenue, Redlands, CA, USA",http://www.gbig.org/buildings/117457,LEED CS 2009
3946,1000020097,LEED,K-12 Education,K-12,"193,953 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"2265 E 103rd St, Los Angeles, CA, USA",http://www.gbig.org/buildings/8926,LEED Schools 2009
3947,1000020322,LEED,Federal Government,K-12,"61,527 sq ft",NA,"Fresno, CA Metropolitan Statistical Area",NA,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Medium metro,NA,"PSC 476 Box 128, APO, CA, 96322, USA",http://www.gbig.org/buildings/794948,LEED Schools 2009
3948,1000019584,LEED,K-12 Education,K-12,"5,240 sq ft",NA,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",California Central Coast Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Medium metro,Pacific Gas and Electric Co.,"525 N Thompson Ave, Nipomo, CA, USA",http://www.gbig.org/buildings/16678,LEED Schools 2009
3949,1000019585,LEED,K-12 Education,K-12,"3,006 sq ft",NA,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",California Central Coast Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Medium metro,Pacific Gas and Electric Co.,"525 N Thompson Ave, Nipomo, CA, USA",http://www.gbig.org/buildings/16678,LEED Schools 2009
3950,1000020133,LEED,K-12 Education,K-12,"46,991 sq ft",January 24 2017,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"2265 E 103rd St, Los Angeles, CA, USA",http://www.gbig.org/buildings/8926,LEED Schools 2009
3951,1000020170,LEED,K-12 Education,K-12,"47,639 sq ft",January 24 2017,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"2265 E 103rd St, Los Angeles, CA, USA",http://www.gbig.org/buildings/8926,LEED Schools 2009
