"","project_source_id","Activity.Type","Owner.Type","Space.Type","Project.Size","Certification.date","CBSA","USGBC.Chapter","EPA.Region","ASHRAE.Climate.Zone","Urban.Rural.Classification","Electric.Utility.Provider","address","building.URL","rating_program_name","building.URL","reg.date","reg.std","owner.type"
"13","10000235","LEED","Investor","Other","647,614 sq ft","October 02 2007","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest",NA,"NCHS Urban-Rural Classification: Large fringe metro","Sierra Pacific Power Co.","5001 Northstar Dr, Truckee, CA, USA","http://www.gbig.org/buildings/599641","LEED NC 2.0","http://www.gbig.org/buildings/599641/details","10/23/2001","LEED NC 2.0","Profit Org., Corporate: Privately Held"
"14","10000238","LEED","Investor","Industrial Manufacturing","14,162 sq ft","October 01 2004","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Pasadena Water & Power Dept.","2812 E Walnut St, Pasadena, CA, USA","http://www.gbig.org/buildings/10550","LEED NC 2.0","http://www.gbig.org/buildings/10550/details","10/26/2001","LEED NC 2.0","Profit Org."
"15","10000134","LEED","Non-profit","Office","51,000 sq ft","September 12 2002","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large fringe metro","Pacific Gas and Electric Co.","2121 Sand Hill Rd, Menlo Park, CA, USA","http://www.gbig.org/buildings/30446","LEED NC 2.0","http://www.gbig.org/buildings/30446/details","06/07/2001","LEED NC 2.0","Non-Profit Org."
"16","10000135","LEED","Corporate","Office","253,000 sq ft","November 09 2001","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Orange County Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Southern California Edison Co.","1 Premier Pl, Irvine, CA, USA","http://www.gbig.org/buildings/304","LEED NC 2.0","http://www.gbig.org/buildings/304/details","06/08/2001","LEED NC 2.0","Profit Org."
"17","10000158","LEED","Local Government","Public Assembly","20,100 sq ft","January 05 2004","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Pacific Gas and Electric Co.","1243 San Tomas Aquino Rd, San Jose, CA, USA","http://www.gbig.org/buildings/3242","LEED NC 2.0","http://www.gbig.org/buildings/3242/details","07/11/2001","LEED NC 2.0","Local Government"
"18","10000183","LEED","Local Government","Public Assembly","12,500 sq ft","August 11 2005","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Los Angeles Dept. of Water & Power","7935 Vineland Ave, Los Angeles, CA, USA","http://www.gbig.org/buildings/42502","LEED NC 2.0","http://www.gbig.org/buildings/42502/details","08/14/2001","LEED NC 2.0","Local Government"
"19","10000273","LEED","Corporate","Laboratory","92,000 sq ft","March 30 2004","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Pacific Gas and Electric Co.","6001 Sunol Blvd, Pleasanton, CA, USA","http://www.gbig.org/buildings/40056","LEED NC 2.0","http://www.gbig.org/buildings/40056/details","01/17/2002","LEED NC 2.0","Profit Org."
"20","10000290","LEED","Local Government","Industrial Manufacturing","142,000 sq ft","June 19 2010","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest",NA,"NCHS Urban-Rural Classification: Large central metro",NA,"Van Nuys Airport (VNY), 16461 Sherman Way, Van Nuys, CA, USA","http://www.gbig.org/buildings/1308735","LEED NC 2.0","http://www.gbig.org/buildings/1308735/details","02/04/2002","LEED NC 2.0","Local Government"
"21","10000439","LEED","Local Government","Public Order and Safety","11,930 sq ft","June 28 2004","Santa Rosa-Petaluma, CA Metropolitan Statistical Area","Redwood Empire Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Medium metro","Pacific Gas and Electric Co.","201 W Sierra Ave, Cotati, CA, USA","http://www.gbig.org/buildings/29863","LEED NC 2.0","http://www.gbig.org/buildings/29863/details","07/11/2002","LEED NC 2.0","Local Government"
"22","10000445","LEED","Local Government","Health Care","800 sq ft","January 27 2009","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Los Angeles Dept. of Water & Power","3201 Lacy St, Los Angeles, CA, USA","http://www.gbig.org/buildings/11985","LEED NC 2.0","http://www.gbig.org/buildings/11985/details","07/15/2002","LEED NC 2.0","Local Government, Government Use: Local, City"
