,project_source_id,Activity Type,Owner Type,Space Type,Project Size,Certification date,CBSA,USGBC Chapter,EPA Region,ASHRAE Climate Zone,Urban Rural Classification,Electric Utility Provider,address,building.URL
4962,1000031184,LEED,NA,K-12,"30,768 sq ft",September 19 2016,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"1901 North Fairview Street, Santa Ana, CA, USA",http://www.gbig.org/buildings/85766
4963,1000031521,LEED,NA,Educational Facilities,"2,922 sq ft",September 11 2014,"Stockton, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Medium metro,Pacific Gas and Electric Co.,"2271 W Louise Ave, Manteca, CA, USA",http://www.gbig.org/buildings/31065
4964,1000031487,LEED,NA,K-12,"30,376 sq ft",January 24 2017,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"2265 E 103rd St, Los Angeles, CA, USA",http://www.gbig.org/buildings/8926
4965,1000031488,LEED,NA,K-12,"14,480 sq ft",February 10 2017,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"2265 E 103rd St, Los Angeles, CA, USA",http://www.gbig.org/buildings/8926
4966,1000032363,LEED,NA,K-12,"16,240 sq ft",August 24 2018,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"3535 Truman Ave, Mountain View, CA, USA",http://www.gbig.org/buildings/12894
4967,1000032916,LEED,NA,K-12,"32,142 sq ft",April 29 2015,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",San Diego Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,San Diego Gas & Electric Co.,"1480 West San Marcos Boulevard, San Marcos, CA, USA",http://www.gbig.org/buildings/98963
4968,1000033550,LEED,NA,K-12,"3,595 sq ft",March 10 2015,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"9500 Stearns Avenue, Oakland, CA, USA",http://www.gbig.org/buildings/107507
4969,1000033083,LEED,NA,K-12,"23,550 sq ft",March 02 2018,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"1714 21st Street, Santa Monica, CA, USA",http://www.gbig.org/buildings/99018
4970,1000032883,LEED,NA,Other,"35,455 sq ft",October 21 2016,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"39990 Faure Road, Hemet, CA, USA",http://www.gbig.org/buildings/99012
4971,1000033832,LEED,NA,Health Care,"33,805 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"1336 Bridgegate Drive, Diamond Bar, CA, USA",http://www.gbig.org/buildings/109764
4972,1000034462,LEED,NA,Health Care,"18,766 sq ft",NA,"Fresno, CA Metropolitan Statistical Area",Central California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Medium metro,Pacific Gas and Electric Co.,"2615 E Clinton Ave, Fresno, CA, USA",http://www.gbig.org/buildings/32216
4973,1000032994,LEED,NA,Health Care,"59,702 sq ft",NA,"Bakersfield-Delano, CA Metropolitan Statistical Area",Central California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Medium metro,Pacific Gas and Electric Co.,"2700 Chester Avenue, Bakersfield, CA, USA",http://www.gbig.org/buildings/98981
4974,1000030362,LEED,NA,Health Care,"923,471 sq ft",NA,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"275 West MacArthur Boulevard, Oakland, CA, USA",http://www.gbig.org/buildings/84642
4975,1000029929,LEED,NA,Health Care,"102,000 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"2000 Stadium Way, Los Angeles, CA, USA",http://www.gbig.org/buildings/79682
4976,1000029262,LEED,NA,Health Care,"625,000 sq ft",NA,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",San Diego Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,San Diego Gas & Electric Co.,"5012 Ruffin Road, San Diego, CA, USA",http://www.gbig.org/buildings/68715
4977,1000026894,LEED,NA,Health Care,"36,000 sq ft",NA,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Pacific Gas and Electric Co.,"2700 Middlefield Rd, Redwood City, CA, USA",http://www.gbig.org/buildings/60001
4978,1000027460,LEED,NA,Health Care,"18,300 sq ft",NA,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large fringe metro,NA,"11201 Benton St, Loma Linda, CA, USA",http://www.gbig.org/buildings/2228
