"","building.URL","reg.date","reg.std","owner.type"
"66","http://www.gbig.org/buildings/36090/details","08/02/2007","LEED NC 2.2","Other, Local Government, Non-Profit Org."
"67","http://www.gbig.org/buildings/1063559/details","12/02/2003","LEED NC 2.1","State Government"
"68","http://www.gbig.org/buildings/34534/details","12/05/2003","LEED NC 2.1","Federal Government"
"69","http://www.gbig.org/buildings/112902/details","12/12/2003","LEED NC 2.1","Local Government, Individual, Educational: Community College, Pub, Non-Profit Org."
"70","http://www.gbig.org/buildings/5058/details","01/08/2004","NBI Zero-Net Energy Case Studies","Non-Profit Org."
"71","http://www.gbig.org/buildings/42589/details","01/09/2004","LEED NC 2.1","Profit Org."
"72","http://www.gbig.org/buildings/39703/details","01/19/2004","LEED NC 2.1","Local Government, State Government, Other, Educational: Community College, Pub, Educational: College, Public"
"73","http://www.gbig.org/buildings/34782/details","02/02/2004","LEED NC 2.1","Profit Org., Corporate: Publicly Traded"
"74","http://www.gbig.org/buildings/88420/details","02/04/2004","LEED NC 2.1","State Government"
"75","http://www.gbig.org/buildings/31515/details","02/04/2004","LEED NC 2.1","Local Government"
"76","http://www.gbig.org/buildings/20504/details","02/05/2004","LEED NC 2.1","State Government"
"77","http://www.gbig.org/buildings/4/details","02/11/2004","LEED NC 2.1","Local Government, Other"
"78","http://www.gbig.org/buildings/5255/details","02/17/2004","LEED NC 2.1","Non-Profit Org."
"79","http://www.gbig.org/buildings/25853/details","02/17/2004","LEED NC 2.1","State Government, Local Government, Educational: Community College, Pub"
"80","http://www.gbig.org/buildings/257/details","03/04/2004","LEED NC 2.1","Other, Profit Org., Non-Profit Org."
"81","http://www.gbig.org/buildings/112887/details","10/23/2003","LEED NC 2.1","Local Government, State Government, Non-Profit Org., Other, Educational: Community College, Pub"
"82","http://www.gbig.org/buildings/5474/details","03/18/2004","LEED NC 2.1","Local Government"
"83","http://www.gbig.org/buildings/971591/details","03/19/2004","LEED NC 2.1","Local Government"
"84","http://www.gbig.org/buildings/88445/details","03/24/2004","NCES Public Schools","Other, Local Government, Non-Profit Org."
"85","http://www.gbig.org/buildings/13702/details","05/12/2004","LEED NC 2.1","State Government"
"86","http://www.gbig.org/buildings/112887/details","10/23/2003","LEED NC 2.1","Local Government, State Government, Non-Profit Org., Other, Educational: Community College, Pub"
"87","http://www.gbig.org/buildings/23749/details","05/18/2004","LEED NC 2.1","Profit Org."
"88","http://www.gbig.org/buildings/5253/details","05/19/2004","LEED NC 2.1","Local Government, Government Use: Local, City"
"89","http://www.gbig.org/buildings/112941/details","06/09/2004","LEED NC 2.1","Non-Profit Org."
"90","http://www.gbig.org/buildings/16567/details","05/05/2003","LEED NC 2.1","State Government, Other, Educational: University, Public, Corporate: Privately Held"
"91","http://www.gbig.org/buildings/6426/details","06/28/2004","LEED NC 2.1","Local Government"
"92","http://www.gbig.org/buildings/17352/details","06/30/2004","LEED NC 2.1","Local Government"
"93","http://www.gbig.org/buildings/39703/details","01/19/2004","LEED NC 2.1","Local Government, State Government, Other, Educational: Community College, Pub, Educational: College, Public"
"94","http://www.gbig.org/buildings/26518/details","07/20/2004","LEED NC 2.1","Local Government"
"95","http://www.gbig.org/buildings/9688/details","07/28/2004","NCES Public Schools","Local Government"
"96","http://www.gbig.org/buildings/112958/details","07/28/2004","LEED NC 2.1","Non-Profit Org."
"97","http://www.gbig.org/buildings/783876/details","08/10/2004","LEED NC 2.1","State Government"
"98","http://www.gbig.org/buildings/15106/details","08/13/2004","LEED NC 2.1","Local Government"
"99","http://www.gbig.org/buildings/112968/details","08/17/2004","LEED NC 2.1","Profit Org."
"100","http://www.gbig.org/buildings/38307/details","08/20/2004","LEED NC 2.1","Individual"
"101","http://www.gbig.org/buildings/783887/details","08/25/2004","LEED NC 2.1","State Government, Government Use: State, Educational: University, Public"
"102","http://www.gbig.org/buildings/1308802/details","09/01/2004","LEED NC 2.1","Local Government"
"103","http://www.gbig.org/buildings/600064/details","09/03/2004","LEED NC 2.1","Local Government"
"104","http://www.gbig.org/buildings/17977/details","09/22/2004","LEED NC 2.1","Profit Org."
"105","http://www.gbig.org/buildings/38201/details","09/23/2004","LEED NC 2.1","Local Government"
"106","http://www.gbig.org/buildings/4274/details","09/23/2004","LEED NC 2.1","Local Government"
"107","http://www.gbig.org/buildings/783729/details","05/23/2003","LEED NC 2.1","Local Government"
"108","http://www.gbig.org/buildings/112985/details","09/27/2004","LEED NC 2.1","Local Government"
"109","http://www.gbig.org/buildings/1323596/details","09/27/2004","LEED NC 2.1","Profit Org."
"110","http://www.gbig.org/buildings/22947/details","04/23/2002","LEED NC 2.1","State Government, Government Use: State"
"111","http://www.gbig.org/buildings/8312/details","04/23/2002","LEED NC 2.1","Local Government, State Government, Other"
"112","http://www.gbig.org/buildings/8312/details","04/23/2002","LEED NC 2.1","Local Government, State Government, Other"
"113","http://www.gbig.org/buildings/45667/details","01/13/2003","LEED NC 2.1","State Government, Educational: University, Public, Educational: College, Public"
"114","http://www.gbig.org/buildings/112836/details","01/17/2003","LEED NC 2.1","Other"
"115","http://www.gbig.org/buildings/428550/details","02/18/2003","LEED NC 2.1","Local Government"
"116","http://www.gbig.org/buildings/26764/details","11/11/2002","LEED NC 2.1","Local Government"
"117","http://www.gbig.org/buildings/783606/details","11/22/2002","LEED NC 2.1","State Government"
"118","http://www.gbig.org/buildings/29384/details","04/15/2003","LEED NC 2.1","Local Government"
"119","http://www.gbig.org/buildings/34148/details","05/01/2003","LEED NC 2.1","Profit Org."
"120","http://www.gbig.org/buildings/16567/details","05/05/2003","LEED NC 2.1","State Government, Other, Educational: University, Public, Corporate: Privately Held"
"121","http://www.gbig.org/buildings/5456/details","05/12/2003","LEED NC 2.1","Local Government"
"122","http://www.gbig.org/buildings/783729/details","05/23/2003","LEED NC 2.1","Local Government"
"123","http://www.gbig.org/buildings/2639/details","05/23/2003","LEED NC 2.1","Local Government"
"124","http://www.gbig.org/buildings/35391/details","05/23/2003","LEED NC 2.1","Local Government"
"125","http://www.gbig.org/buildings/24678/details","05/23/2003","LEED NC 2.1","Local Government"
"126","http://www.gbig.org/buildings/6490/details","05/23/2003","LEED NC 2.1","Local Government"
"127","http://www.gbig.org/buildings/1308762/details","05/23/2003","LEED NC 2.1","Local Government"
"128","http://www.gbig.org/buildings/5875/details","05/23/2003","LEED NC 2.1","Local Government"
"129","http://www.gbig.org/buildings/112862/details","05/23/2003","LEED NC 2.1","Local Government"
"130","http://www.gbig.org/buildings/9203/details","05/23/2003","LEED NC 2.1","Non-Profit Org."
"131","http://www.gbig.org/buildings/1323589/details","05/23/2003","LEED NC 2.1","Local Government"
"132","http://www.gbig.org/buildings/31945/details","06/03/2003","NCES Private Schools","Non-Profit Org."
"133","http://www.gbig.org/buildings/32079/details","06/06/2003","LEED NC 2.1","Profit Org."
